iter	Logloss
0	0.6922865356
1	0.6911448003
2	0.6900621485
3	0.6891988847
4	0.6877991294
5	0.6869733232
6	0.6862520428
7	0.6854821866
8	0.6842680091
9	0.683511627
10	0.682476746
11	0.6814932633
12	0.6807451537
13	0.6793811667
14	0.6781900224
15	0.6775019401
16	0.6763785813
17	0.6755044554
18	0.6746919115
19	0.6737654827
20	0.6725568358
21	0.671677014
22	0.6706367454
23	0.6699216141
24	0.669102677
25	0.6680675328
26	0.667321035
27	0.6665631134
28	0.6658569881
29	0.6648146379
30	0.6642047943
31	0.6634353999
32	0.6627070819
33	0.6618999782
34	0.6613004387
35	0.6608543406
36	0.6601096678
37	0.6594541296
38	0.6584880515
39	0.6578591128
40	0.6570665935
41	0.6563806995
42	0.6556114015
43	0.6547879696
44	0.6542221823
45	0.653621774
46	0.6528951962
47	0.6522415656
48	0.6512922168
49	0.6505108635
50	0.6498597946
51	0.6489984387
52	0.6483784678
53	0.647385228
54	0.6466722711
55	0.6460556416
56	0.6455579033
57	0.6447506179
58	0.6437690741
59	0.643037234
60	0.6424581299
61	0.6418336254
62	0.6410602532
63	0.6402734762
64	0.6394567429
65	0.6385884752
66	0.6380104774
67	0.6371676796
68	0.6365866587
69	0.6357866963
70	0.6352255381
71	0.6345158228
72	0.6339165527
73	0.6333393146
74	0.632807163
75	0.6322316144
76	0.6316805548
77	0.6312856772
78	0.630737774
79	0.6302926453
80	0.6298617855
81	0.6290197387
82	0.6281975211
83	0.6274867849
84	0.6268286481
85	0.6262499746
86	0.6255942451
87	0.6250811276
88	0.6244473568
89	0.6239531396
90	0.6232451034
91	0.6225940865
92	0.6219303571
93	0.6212102723
94	0.6206740303
95	0.6201154325
96	0.6196000431
97	0.6189340306
98	0.618284864
99	0.6178735051
100	0.617482658
101	0.6169594819
102	0.6162067259
103	0.6156620003
104	0.6151832845
105	0.6144701392
106	0.6139073122
107	0.61304419
108	0.6122241206
109	0.611816218
110	0.611247815
111	0.610616168
112	0.6100868862
113	0.6094852976
114	0.608913189
115	0.6081094454
116	0.60748337
117	0.6071108398
118	0.6064667587
119	0.6058351873
120	0.6055065077
121	0.6050648406
122	0.6046470905
123	0.6040699903
124	0.6036708072
125	0.6033529293
126	0.6029506362
127	0.6023093068
128	0.6018307038
129	0.6015405938
130	0.6010275754
131	0.6004272445
132	0.6000857657
133	0.5997631352
134	0.5991417851
135	0.5984828021
136	0.5980894196
137	0.5975458935
138	0.5969909181
139	0.5966730943
140	0.5962119523
141	0.5958336707
142	0.595259484
143	0.5949987765
144	0.5946372431
145	0.5941943961
146	0.5938224587
147	0.5934561403
148	0.5931297574
149	0.5926920205
150	0.5922433026
151	0.5917456279
152	0.5911004121
153	0.5903986061
154	0.5900813471
155	0.5897741179
156	0.5893051289
157	0.5888384417
158	0.5885146203
159	0.5881627389
160	0.5874754071
161	0.5869560556
162	0.5865501851
163	0.5861392675
164	0.5858378782
165	0.5853957754
166	0.5850036401
167	0.5846435942
168	0.5843189082
169	0.5839032549
170	0.5835638206
171	0.5832344457
172	0.5828341079
173	0.5822690351
174	0.5817906257
175	0.5814670359
176	0.5811017138
177	0.5806123021
178	0.5801914051
179	0.5796407893
180	0.5793047107
181	0.5788557205
182	0.5786374296
183	0.5780867146
184	0.5776714988
185	0.5774289983
186	0.5771196903
187	0.5767619087
188	0.5763576774
189	0.5759546895
190	0.5757372596
191	0.5753363998
192	0.5747931259
193	0.5743466757
194	0.573651899
195	0.5733112465
196	0.5729082078
197	0.5726119849
198	0.5723168975
199	0.5717712331
200	0.5716166368
201	0.5713324443
202	0.5710833746
203	0.5708303948
204	0.5704905943
205	0.5701783235
206	0.5697607795
207	0.5692843176
208	0.5690941886
209	0.5687330833
210	0.5684020575
211	0.5679379739
212	0.567480754
213	0.5669313431
214	0.5664288258
215	0.5662821527
216	0.5659718255
217	0.5656605954
218	0.5652496211
219	0.5648175202
220	0.5643921511
221	0.5639875901
222	0.5635561788
223	0.5633518372
224	0.563185904
225	0.5628825858
