iter	Passed	Remaining
0	59	59914
1	60	30385
2	61	20556
3	62	15535
4	62	12521
5	63	10507
6	64	9154
7	65	8119
8	66	7274
9	67	6640
10	67	6087
11	68	5622
12	69	5255
13	69	4926
14	70	4638
15	71	4389
16	72	4164
17	72	3963
18	77	3976
19	77	3816
20	78	3662
21	79	3544
22	81	3444
23	81	3333
24	82	3219
25	83	3133
26	84	3036
27	85	2969
28	86	2888
29	86	2806
30	88	2760
31	89	2692
32	89	2631
33	91	2595
34	92	2538
35	92	2470
36	92	2417
37	93	2369
38	94	2323
39	94	2278
40	95	2240
41	96	2207
42	97	2165
43	98	2132
44	98	2094
45	99	2058
46	99	2022
47	100	1996
48	101	1963
49	101	1931
50	102	1899
51	102	1870
52	103	1841
53	103	1814
54	103	1786
55	104	1761
56	104	1737
57	105	1713
58	106	1691
59	106	1669
60	107	1647
61	107	1625
62	107	1605
63	108	1587
64	109	1569
65	109	1552
66	110	1534
67	110	1517
68	111	1501
69	111	1485
70	112	1469
71	112	1455
72	113	1440
73	113	1426
74	114	1412
75	115	1398
76	115	1384
77	115	1368
78	116	1356
79	116	1343
80	117	1330
81	117	1318
82	118	1308
83	118	1297
84	119	1291
85	120	1281
86	121	1270
87	121	1260
88	122	1250
89	122	1240
90	123	1231
91	123	1221
92	124	1212
93	124	1203
94	125	1195
95	125	1185
96	126	1177
97	127	1169
98	127	1160
99	128	1152
100	128	1145
101	129	1138
102	129	1130
103	130	1122
104	130	1116
105	131	1109
106	132	1102
107	132	1095
108	133	1088
109	133	1081
110	134	1076
111	134	1069
112	135	1062
113	135	1056
114	136	1050
115	137	1044
116	137	1037
117	138	1031
118	138	1026
119	139	1020
120	139	1014
121	140	1009
122	140	1003
123	141	998
124	141	993
125	142	988
126	142	982
127	143	977
128	144	972
129	144	969
130	145	964
131	145	959
132	146	954
133	147	950
134	147	945
135	148	940
136	148	936
137	149	931
138	149	927
139	150	922
140	150	918
141	151	914
142	151	910
143	152	906
144	152	901
145	153	898
146	154	893
147	154	889
148	155	885
149	155	881
150	156	878
151	156	874
152	157	870
153	158	870
154	158	866
155	159	863
156	160	859
157	160	855
158	160	851
159	161	848
160	161	843
161	162	841
162	163	838
163	163	835
164	164	832
165	164	828
166	165	825
167	166	822
168	166	819
169	167	815
170	167	812
171	168	809
172	169	810
173	170	807
174	170	805
175	171	802
176	171	799
177	172	796
178	173	793
179	173	791
180	174	788
181	175	787
182	176	786
183	176	783
184	177	780
185	177	777
186	178	774
187	178	772
188	179	769
189	179	767
190	180	764
191	181	762
192	182	762
193	182	759
194	183	756
195	183	754
196	184	751
197	184	749
198	185	746
199	186	744
200	186	741
201	187	739
202	187	737
